REF_DATE,GEO,Violations,Statistics,VALUE
2000,Canada,Homicide [110],Actual incidents,546
2001,Canada,Homicide [110],Actual incidents,553
2002,Canada,Homicide [110],Actual incidents,582
2003,Canada,Homicide [110],Actual incidents,549
2004,Canada,Homicide [110],Actual incidents,624
2005,Canada,Homicide [110],Actual incidents,663
2006,Canada,Homicide [110],Actual incidents,606
2007,Canada,Homicide [110],Actual incidents,594
2008,Canada,Homicide [110],Actual incidents,611
2009,Canada,Homicide [110],Actual incidents,610
2010,Canada,Homicide [110],Actual incidents,554
2011,Canada,Homicide [110],Actual incidents,598
2012,Canada,Homicide [110],Actual incidents,543
2013,Canada,Homicide [110],Actual incidents,512
2014,Canada,Homicide [110],Actual incidents,521
2015,Canada,Homicide [110],Actual incidents,609
2016,Canada,Homicide [110],Actual incidents,612
2017,Canada,Homicide [110],Actual incidents,666
2018,Canada,Homicide [110],Actual incidents,658
2019,Canada,Homicide [110],Actual incidents,687
2020,Canada,Homicide [110],Actual incidents,743
2000,Canada,Homicide [110],"Rate per 100,000 population",1.78
2001,Canada,Homicide [110],"Rate per 100,000 population",1.78
2002,Canada,Homicide [110],"Rate per 100,000 population",1.86
2003,Canada,Homicide [110],"Rate per 100,000 population",1.74
2004,Canada,Homicide [110],"Rate per 100,000 population",1.95
2005,Canada,Homicide [110],"Rate per 100,000 population",2.06
2006,Canada,Homicide [110],"Rate per 100,000 population",1.86
2007,Canada,Homicide [110],"Rate per 100,000 population",1.81
2008,Canada,Homicide [110],"Rate per 100,000 population",1.84
2009,Canada,Homicide [110],"Rate per 100,000 population",1.81
2010,Canada,Homicide [110],"Rate per 100,000 population",1.63
2011,Canada,Homicide [110],"Rate per 100,000 population",1.74
2012,Canada,Homicide [110],"Rate per 100,000 population",1.56
2013,Canada,Homicide [110],"Rate per 100,000 population",1.46
2014,Canada,Homicide [110],"Rate per 100,000 population",1.47
2015,Canada,Homicide [110],"Rate per 100,000 population",1.71
2016,Canada,Homicide [110],"Rate per 100,000 population",1.69
2017,Canada,Homicide [110],"Rate per 100,000 population",1.82
2018,Canada,Homicide [110],"Rate per 100,000 population",1.78
2019,Canada,Homicide [110],"Rate per 100,000 population",1.83
2020,Canada,Homicide [110],"Rate per 100,000 population",1.95
2000,Canada,Attempted murder [1210],Actual incidents,767
2001,Canada,Attempted murder [1210],Actual incidents,725
2002,Canada,Attempted murder [1210],Actual incidents,678
2003,Canada,Attempted murder [1210],Actual incidents,707
2004,Canada,Attempted murder [1210],Actual incidents,671
2005,Canada,Attempted murder [1210],Actual incidents,822
2006,Canada,Attempted murder [1210],Actual incidents,837
2007,Canada,Attempted murder [1210],Actual incidents,793
2008,Canada,Attempted murder [1210],Actual incidents,721
2009,Canada,Attempted murder [1210],Actual incidents,801
2010,Canada,Attempted murder [1210],Actual incidents,668
2011,Canada,Attempted murder [1210],Actual incidents,665
2012,Canada,Attempted murder [1210],Actual incidents,665
2013,Canada,Attempted murder [1210],Actual incidents,636
2014,Canada,Attempted murder [1210],Actual incidents,630
2015,Canada,Attempted murder [1210],Actual incidents,777
2016,Canada,Attempted murder [1210],Actual incidents,786
2017,Canada,Attempted murder [1210],Actual incidents,821
2018,Canada,Attempted murder [1210],Actual incidents,821
2019,Canada,Attempted murder [1210],Actual incidents,875
2020,Canada,Attempted murder [1210],Actual incidents,864
2000,Canada,Attempted murder [1210],"Rate per 100,000 population",2.5
2001,Canada,Attempted murder [1210],"Rate per 100,000 population",2.34
2002,Canada,Attempted murder [1210],"Rate per 100,000 population",2.16
2003,Canada,Attempted murder [1210],"Rate per 100,000 population",2.23
2004,Canada,Attempted murder [1210],"Rate per 100,000 population",2.1
2005,Canada,Attempted murder [1210],"Rate per 100,000 population",2.55
2006,Canada,Attempted murder [1210],"Rate per 100,000 population",2.57
2007,Canada,Attempted murder [1210],"Rate per 100,000 population",2.41
2008,Canada,Attempted murder [1210],"Rate per 100,000 population",2.17
2009,Canada,Attempted murder [1210],"Rate per 100,000 population",2.38
2010,Canada,Attempted murder [1210],"Rate per 100,000 population",1.96
2011,Canada,Attempted murder [1210],"Rate per 100,000 population",1.94
2012,Canada,Attempted murder [1210],"Rate per 100,000 population",1.92
2013,Canada,Attempted murder [1210],"Rate per 100,000 population",1.81
2014,Canada,Attempted murder [1210],"Rate per 100,000 population",1.78
2015,Canada,Attempted murder [1210],"Rate per 100,000 population",2.18
2016,Canada,Attempted murder [1210],"Rate per 100,000 population",2.18
2017,Canada,Attempted murder [1210],"Rate per 100,000 population",2.25
